"","X","DBCODE","ENTITY","SITECODE","YEAR","MONTH","DAY","HOUR","MINUTE","L2TEMP","REMOVEFLAG","SNOWFLAG","SPASTFLAG","time","cluster","clust_type"
"1",1,"SA024",3,2,2011,9,5,7,0,12,0,0,0,7,1,"High"
"2",2,"SA024",3,2,2011,9,5,7,20,11.9,0,0,0,7.33333333333333,1,"High"
"3",3,"SA024",3,2,2011,9,5,7,40,11.9,0,0,0,7.66666666666667,1,"High"
"4",4,"SA024",3,2,2011,9,5,8,0,12.2,0,0,0,8,1,"High"
"5",5,"SA024",3,2,2011,9,5,8,20,12.6,0,0,0,8.33333333333333,1,"High"
"6",6,"SA024",3,2,2011,9,5,8,40,13.3,0,0,0,8.66666666666667,1,"High"
"7",7,"SA024",3,2,2011,9,5,9,0,13.9,0,0,0,9,1,"High"
"8",8,"SA024",3,2,2011,9,5,9,20,14.7,0,0,0,9.33333333333333,1,"High"
"9",9,"SA024",3,2,2011,9,5,9,40,15.9,0,0,0,9.66666666666667,1,"High"
"10",10,"SA024",3,2,2011,9,5,10,0,16.7,0,0,0,10,1,"High"
"11",11,"SA024",3,2,2011,9,5,10,20,17.5,0,0,0,10.3333333333333,1,"High"
"12",12,"SA024",3,2,2011,9,5,10,40,18,0,0,0,10.6666666666667,1,"High"
"13",13,"SA024",3,2,2011,9,5,11,0,18.5,0,0,0,11,1,"High"
"14",14,"SA024",3,2,2011,9,5,11,20,19.7,0,0,0,11.3333333333333,1,"High"
"15",15,"SA024",3,2,2011,9,5,11,40,20.2,0,0,0,11.6666666666667,1,"High"
"16",16,"SA024",3,2,2011,9,5,12,0,20.9,0,0,0,12,1,"High"
"17",17,"SA024",3,2,2011,9,5,12,20,21.7,0,0,0,12.3333333333333,1,"High"
"18",18,"SA024",3,2,2011,9,5,12,40,22.2,0,0,0,12.6666666666667,1,"High"
"19",19,"SA024",3,2,2011,9,5,13,0,23.3,0,0,0,13,1,"High"
"20",20,"SA024",3,2,2011,9,5,13,20,24.4,0,0,0,13.3333333333333,1,"High"
"21",21,"SA024",3,2,2011,9,5,13,40,25.1,0,0,0,13.6666666666667,1,"High"
"22",22,"SA024",3,2,2011,9,5,14,0,25,0,0,0,14,1,"High"
"23",23,"SA024",3,2,2011,9,5,14,20,25.2,0,0,0,14.3333333333333,1,"High"
